,credits,department,code,url,description
23,3,MDEM,311,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=312&p_subj=ANTH,"Thematic coverage of developments throughout the continent from the Lower Paleolithic to medieval times, with emphasis on food production, metallurgy, and the rise of cities and complex societies. "
24,3,ANTH,314/514,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=314&p_subj=ANTH,"This course interrogates what we can learn about social, political and economic life by examining ships. Ships have long inspired social theory and anthropological thinking. Seen from the shore, ships not only carried commodities, but also signified conquest, disease, and imperial power. They were characterized as instruments of economic development for some and as tools of oppression for others. As shipping and logistics have emerged as defining features of contemporary global exchange, ships have acquired new forms and functions. In addition to analyzing shipyards, ports, and ship-breaking facilities, this course will look at a wide-range of vessels, such as slave ships, spaceships, containerships, pirate ships, and rescue vessels and refugee ships in different parts of the world. "
25,3,ANTH,315/515,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=315&p_subj=ANTH,"This course introduces students to the study of ancient animal remains. Through laboratory exercises, students learn to identify bones and teeth of diverse animals and to distinguish natural and anthropogenic processes affecting fossil and archaeological bones. Key topics in human-animal relations are addressed, including paleoecology, the food quest, animal domestication, and the roles of animals in ancient culinary, ritual, and other social settings; as well as covering relevance of the past to present-day issues such as conservation biology."
26,3,ANTH,316,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=316&p_subj=ANTH,"This course will use both historical and contemporary readings focusing on Black and decolonial/anticolonial feminisms as theory and praxis to reflect on the particular experiences of Afro-descendants throughout the Americas. Through a close reading of scholarly and popular texts focusing on the experiences of Black women throughout the Americas (with particular emphasis on Latin America and the Caribbean) we will engage with themes including transnationalism and migration, language, belonging, gender and sexuality, land rights, social inequality and practices of resistance. We will also analyze how art (music, visual and performance art) and activism represent important sites of resistance to contemporary struggles faced by Black communities."
27,3,ANTH,317/517,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=317&p_subj=ANTH,"In order to gain a more precise grasp of our contemporary political challenges and possibilities, this course in political anthropology investigates a wide range of historical and contemporary cases of rapid political and social transformation and carefully examines the ideas, desires and utopias that inspired them."
28,3,ANTH,319/519,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=319&p_subj=ANTH,"This course considers anthropological theories of the state and examines ethnographic accounts of states in some unexpected places - that is, outside the official realm of government bureaucracies and institutionalized politics. Topics include so-called ""stateless societies,"" planning and bureaucratic rationality, violence and power, and ethnographic methods for studying the state. "
29,3,ANTH,320,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=320&p_subj=ANTH,"This course uses a social scientific approach to analyze and understand the relationship between climate change and social inequality. Through course readings, discussion and guest speakers, students will examine how the social, political, economic and ecological impacts of climate change exacerbate existing social inequities and disproportionately affect vulnerable communities. The course will also explore the concept of climate justice as a political and ethical framework for addressing climate change impacts and inequality. "
30,3,ANTH,321/521,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=321&p_subj=ANTH,"This upper level seminar examines the increasing significance of genetics as a central component of our social, economic, and political life. As the potential applications of DNA to our social life increasingly appear endless, this course asks how is genetic information reshaping our understanding of the value of life itself? In addition to identifying markers, scientific knowledge production around genetic information is reconstituting key ideas of risk, care, capital that impact our ideas of disability, race, kinship, citizenship, nationalism, and justice. In this class, our aim is to ask a) what is historically and materially distinct about genetic information as a metaphor for social processes, b) how is the value of life itself being reproduced and transformed for whom, and c) what are potential consequences we face by relating to one another through the geneticization of social life?"
31,3,ANTH,322/522,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=322&p_subj=ANTH,"How do cultural conceptions of race, ethnicity, and nationalism shape who we think we are? How are these ideas related to Western views of the relations between nature and society, and how do these differ from those in other cultures?"
32,3,ANTH,326/526,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=326&p_subj=ANTH,"An exploration of normativity and its different social forms across the world. It combines theoretical and ethnographic analyses of legal institutions and practices as cultural phenomena undergirded by power relations, knowledge forms and historical forces. "
33,3,ANTH,330,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=330&p_subj=ANTH,"Overview of the basics of the analysis of soils and sediments as related to archaeological deposits, and introducing the key concepts of surficial geology, site formation, landscape evolution, and the scope of depositional environments. Includes practical methods for describing stratigraphy, sediments and soil profiles in the field."
34,3,ANTH,332/532,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=332&p_subj=ANTH,"This course considers the phenomenon of renewable energy, using a social scientific approach to analyze the various forces and interests involved in the development of renewable energy projects (such as hydropower, solar and wind) in both the global North and South. "
35,3,ANTH,333/533,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=333&p_subj=ANTH,"This course explores the mutually constructive relationship between humans and objects; it asks how objects are made meaningful and active by humans, and how, in turn, people acquire meaning, relations, and agency through material culture. Topics include: commoditization, consumption, gift exchange, subjects and objects, identity, fashion, collecting, art, and authenticity. "
36,3,ANTH,336/536,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=336&p_subj=ANTH,"The course introduces such classic anthropological concepts as the rite of passage and the cultural system as frames for the investigation of the professionalization of medicine as a discipline, medical training and the changing epistemologies of medical knowledge and the changing scope and content of the medical cosmos."
37,3,ANTH,340,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=340&p_subj=ANTH,"This course explores the relationship between two of the most powerful forces shaping the world today: economic globalization and political neoliberalism. Using ethnographic, policy and theoretical documentation drawn from a variety of case studies, we will reconstruct the interrelated origins of globalization and neoliberalism and map their social and cultural impacts across the world. "
38,,ANTH,341/541,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=341&p_subj=ANTH,"A wide-ranging introduction to museum studies with a particular focus on the collection and exhibition of cultural heritage materials. We will examine how heritage objects are displayed and represented in museums of art, natural historical history, and heritage. Topics include looking and ethics of collecting, policies of display, changing roles for museums; exhibition design and curatorial practice. "
39,,HURC,342,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=341&p_subj=ANTH,"A wide-ranging introduction to museum studies with a particular focus on the collection and exhibition of cultural heritage materials. We will examine how heritage objects are displayed and represented in museums of art, natural historical history, and heritage. Topics include looking and ethics of collecting, policies of display, changing roles for museums; exhibition design and curatorial practice. "
40,3,ANTH,343,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=343&p_subj=ANTH,"Discusses new religious movements and the religious, sociological, and political factors leading to their rise, also missionary and colonial reactions to them. Examines their relationship to indigenous religions, political praxis, and their focus on this-worldly salvation in the wake of political and economic marginality. "
41,4,RELI,343,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=343&p_subj=ANTH,"Discusses new religious movements and the religious, sociological, and political factors leading to their rise, also missionary and colonial reactions to them. Examines their relationship to indigenous religions, political praxis, and their focus on this-worldly salvation in the wake of political and economic marginality. "
42,3,ANTH,344/544,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=344&p_subj=ANTH,"The course treats both the theorization and the ethnographic exploration of the urban imaginary; urban spaces and practices; urban, suburban, and post-urban planning; city-states, colonial cities, and capital cities; and the late 20th century metropolis."
43,3,ANTH,347/547,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=347&p_subj=ANTH,"The course looks at selected aspects of American culture and society from an anthropological point of view. Readings derive from the works of both foreign and native observers, past and present. "
44,3,ANTH,348/548,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=348&p_subj=ANTH,"This class examines the uses and makings of nature in accounts of the human and post-human. It introduces students to nature as an object of study, as an analytic and as a heuristic. Some of the topics the course explores include the nature-culture dyad, nature as resource, science and technology and the remaking of nature, economies of nature, materiality, nature and kinship, and natural ontologies."
45,3,ANTH,351,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=351&p_subj=ANTH,"This course will examine the cultural dimensions of nationalism, particularly around the creation of forms of ""peoplehood"" that seem to be presupposed by almost all nation-building projects. Texts to be analyzed will include the Declaration of Independence, the United States Constitution, and the Declaration of the Rights of Man."
46,3,ANTH,354/554,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=354&p_subj=ANTH,"This course draws on critical disability studies and medical anthropology to explore how gender and sexuality matter in contexts of illness and disability across a range of institutional, social, and national contexts. We pay particular attention to the ways illness and disability expose, disturb, or retrench normative arrangements of gender."
47,,SWGS,,,"This course draws on critical disability studies and medical anthropology to explore how gender and sexuality matter in contexts of illness and disability across a range of institutional, social, and national contexts. We pay particular attention to the ways illness and disability expose, disturb, or retrench normative arrangements of gender."
48,3,ANTH,355/555,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=355&p_subj=ANTH,"This course provides an overview of the way archaeologists study space, place and landscape, including studies that emphasize ecological, symbolic, political economic and religious aspects. Recent theoretical work on space, place and landscape will be emphasized, as well as archaeological methods of investigation and interpretation, including remote sensing, surveying, and GIS."
49,3,ANTH,358/558,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=358&p_subj=ANTH,"In contrast with people self-identified within political structures of the First, Second and Third Worlds, Fourth World peoples are, generally speaking, ""stateless peoples."" In this course we will examine both how this ""unofficial"" status affects their struggle for self-determination and how native peoples engage traditional beliefs and practices for self-empowerment. Through readings, films and speakers we will examine current conflicts facing indigenous people in North and South America, the Soviet Union, Europe, Asia, and Australia."
50,3,ANTH,361/561,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=361&p_subj=ANTH,"This course examines contemporary cultural and political dynamics in Latin America. Topics include: race, ethnicity and indigenousness; borders, migrations and diaspora; genocide and state violence; neo-colonialisms and neo-liberalisms; sexuality, gender and class dynamics; social movements and activism; the politics and practices of medicine and religion; popular culture, media and technology. "
51,3,ANTH,365,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=365&p_subj=ANTH,"Does media show how things really are? This class explores the politics of representation, particularly in times of social mayhem, revolution, and war. Although we will focus primarily on cultural and political representations of the Israeli-Palestinian conflict, this class will also put this dispute in comparison with other global events. "
52,3,SOCI,365,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=365&p_subj=ANTH,"Does media show how things really are? This class explores the politics of representation, particularly in times of social mayhem, revolution, and war. Although we will focus primarily on cultural and political representations of the Israeli-Palestinian conflict, this class will also put this dispute in comparison with other global events. "
53,3,ANTH,366/566,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=366&p_subj=ANTH,"This course explores science as a transnational phenomenon, focusing on the pathways along which it flows around the world. Topics include differences in local styles of reasoning, dynamics of international scientific collaborations, transnational migration of knowledge workers, the role of science in nationalist projects, and the commodification of science. "
54,3,ANTH,371/571,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=371&p_subj=ANTH,"Money is such a part of everyday modern life that it is hard for us to imagine living without it. Yet in many pre-modern societies, gift-exchange was as important as money is in our own. This course will look at the cultural dimensions of systems of exchange, ranging from gift giving among Northwest Coast Indians to foreign currency exchanges between financial institutions. Along with the classic work of Marx and Simmel on money and capital, we will also cover some of the anthropological work on gifts and exchange, such as that of Mauss, Levi-Strauss, and Bourdieu, as well as some of the contemporary debates initiated by Bataille and Derrida. "
55,3,ANTH,372/572,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=372&p_subj=ANTH,"Most of us think of capitalism as primarily an economic phenomenon. Yet, it also has a profoundly cultural dimension. This class will examine how capitalism and related phenomena, such as commodification, markets and marketing, corporate finance and the calculation of risk, both affect and are affected by culture. We will consider the impact of capitalist markets on social relations and gender identities; on ideals of patriotism, responsibility and success; and on popular culture and leisure practices. We will also ask how people resist, appropriate and modify in culturally specific ways the logic and institutions of a global capitalist order."
56,3,ANTH,376,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=376&p_subj=ANTH,"This course explores art and social change in times of mass displacement, racial oppression, and war. It surveys the efforts involved in achieving justice and the possible implications of remaining historically mute and hopeless. The class will host contemporary activists and artists concerned with radical visions of hope in Houston. "
57,4,ANTH,378/578,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=578&p_subj=ANTH,"Focuses on cinematic explorations of and preoccupations with the notion of place. Screenings include iconic and lesser - known films from Europe and the Middle East that offer diverse lenses and contexts (love, family, landscapes, borders, trauma, exile) through which we will examine questions of real and imagined place and the politics of memory. "
58,3,ANTH,380/580,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=380&p_subj=ANTH,"This course will explore in-depth case studies of transnational health justice movement in order to address critical themes of health inequalities in the context of conflict. We will attend to topical themes including gender inequality, class struggle, healthcare systems and their variations, childhood and chronic illness, the intersection between environment and health, and the role of scientific knowledge in claims for health justice."
59,3,ANTH,381/581,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=381&p_subj=ANTH,"Cultural, ecological, and biological perspectives on human health and disease throughout the world"
60,3,ANTH,382/582,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=382&p_subj=ANTH,"Seminar on the body and the various technologies that are used to optimize it. Includes topics such as cosmetic surgery, diet supplementation, pharmaceutical enhancement and body art. "
61,3,ANTH,385,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=385&p_subj=ANTH,"This course offers a theoretical and ethnographic overview of past, current, and future anthropological research on media. Topics rotate but can include: cultural conservation among indigenous peoples, spectacle and sexuality, nationalism, advertising, journalism, and news-making, political communication and activism, technology and social change. "
62,3,ANTH,386,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=386&p_subj=ANTH,"Food is increasingly understood and manipulated at the molecular level and used in therapy or disease prevention. This course focuses on the fluid intersection of biomedicine and nutrition as changes in agriculture, food safety, and research into the physiological and genetic effects of food alter how Western cultures eat."
63,3,ANTH,387,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=387&p_subj=ANTH,"This interdisciplinary course will investigate the diverse cultural traditions and shared experiences of Asian Americans in the United States. By analyzing historical works, literary texts, and films, we will explore a range of topics including Asian immigration, gender roles, identity formation, and ethnic media."
64,3,ANTH,389/589,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=389&p_subj=ANTH,"This course offers a broad anthropological perspective on food and culture, as well as the way that archaeologists attempt to reconstruct the subsistence technologies and diets of ancient peoples. Topics include forager and agricultural subsistence technologies, the origins of food production, feasting, food and identity, and gender and food. "
65,3,ANTH,391/591,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=391&p_subj=ANTH,"Drawing from “CliFi,” “Speculative Fiction, “and global anthropological case studies, this course analyzes a series of potential futures as earthly conditions continue to be altered by human activity. Students will develop speculative future models through assessing climate conditions, population displacement, ethics, ecological transformations and human practices and values. "
66,3,ANTH,392,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=392&p_subj=ANTH,"With an approach in archaeological methods and theories, Ancient Mesoamerica investigates the lives of ancient kings, queens, and commoners of pre-Columbian Central America. The course includes an overview of the culture history of indigenous cultures in this study area, with emphasis on topics of social archaeology that hold relevance to today's world. "
67,3,ANTH,394/594,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=394&p_subj=ANTH,"This course covers methodological and thematic approaches employed in the historical archaeology of slavery and the African diaspora in the Americas from the fifteenth to the nineteenth centuries. Archaeologists are uniquely positioned to study enslaved people through their material culture, and in this case especially, archaeologists have the opportunity to apply their particular approaches since written documents relating to the African diaspora are overwhelmingly written by the enslavers, not the enslaved. In this class emphasis is placed on what the archaeological analyses of the material record reveal about slavery and the everyday lives of enslaved individuals, including plantation life, labor management of the planters, work habits of the enslaved, leisure time, economic networks, kinship, religious practices, retentions, and resistance, to name but a few. Students interested in African and African diaspora studies, archaeology, slavery, and race should find this course useful. "
68,3,ANTH,396/596,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=396&p_subj=ANTH,"This course will explore how people interact with the law in their everyday lives – in the U.S. and elsewhere. Examples will include how individuals experience and respond to policing, examining the effects of immigration and border security policies, and tracing how people and groups mobilize to challenges laws perceived as unjust. "
69,3,ANTH,399,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=399&p_subj=ANTH,"This course examines a variety of issues related to reproduction. Using a cross-cultural and critical approach, we will analyze how social negotiations over biological processes bring reproduction to the center of social theory. We will explore a variety of topics, such as pregnancy, prenatal testing and childbirth, reproductive rights, kinship and belonging, the use of new reproductive technologies, and the politics of the nation-state as they affect women’s and men’s reproductive lives. Ethnographic readings and examples from around the world will illustrate our discussions and enable students to gain an understanding of the complex intersection of local and global politics regarding reproductive experiences and choices. "
70,3,ANTH,400,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=400&p_subj=ANTH,"Guided independent research with lab component to study questions under the topics of sports, healthcare, transportation, immigration, and urban development in Houston and other global cities covered in the Global Urban Lab program. "
71,3,ANTH,403/603,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=403&p_subj=ANTH,"A critical review of work informed by what has sometimes been deemed the ""key concept"" of anthropological theory and research since the 1960s. Special attention will be devoted to the analytics of practice developed by Foucault, by Bourdieu, and by de Certeau. "
72,3,ANTH,422/622,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=422&p_subj=ANTH,This seminar course asks why “infrastructure” – that which enables other things to happen – has recently become such an important concept in the human sciences. After reviewing recent and classic theoretical approaches we explore recent anthropological studies of infrastructures-in-action ranging from information and media infrastructures to environmental and biotic infrastructures to infrastructures of governance and power.
73,3,ANTH,423,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=423&p_subj=ANTH," Explore and analyze specific myths and rituals which provide legitimation for community ceremonies and that serve as a basis for the negotiation of power and ideology for members within that community. Readings from classic theorists: Durkheim, Levi-Strauss, Edmond Leach, Gennap and Turner, and contemporary theorists: Werbner, Heusch, Comaroff, and Ray."
74,3,ANTH,424/624,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=424&p_subj=ANTH,"The course comprises an in–depth examination of the career and major works of a scholar of significant influence within and beyond anthropology. In Fall 2018, the course will focus on anthropologist Mary Douglas."
75,3,ANTH,426/626,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=426&p_subj=ANTH,"This class introduces students to thinking about space volumetrically and kinesthetically. It builds on scholarship that calls our attention to the geopolitics of volumetric space using underground water movement as a case study. It is a hands on studio that combines anthropology, arts, and architecture"
76,3,ANTH,428/628,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=428&p_subj=ANTH,This course will survey the field of Social Studies of Science and Technology (STS) emphasizing the contributions made by feminist and queer scholarship. It will combine foundational theoretical works with contemporary ethnographies. 
77,3,ANTH,429/629,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=429&p_subj=ANTH,"Movements to alleviate inequalities constitute important cultural and political interventions globally. This course examines advocacy practices to create and sustain social movements and political struggles. Cases included grassroots advocacy, NGOs, transnational and technological activism; environmental justice; human rights; gender, ethnic and sexual rights; consumption and globalization; democratization and neoliberalism. "
78,3,ANTH,440,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=440&p_subj=ANTH,"This class examines how the concept of ""translation"" can be used to understand the movement of regulations around our globalized world. It is designed as a research experience that will give students the opportunity to conduct archival research, produce annotated bibliographies, and conduct a literature review with an interdisciplinary approach that combines the social sciences and humanities. This is a hands on lab that will benefit students who are interested in the law from a social perspective and interdisciplinary thinking and research methods. "
